Country,Currency Type,Business Line,Team/Business Unit,Year,Cycle,Terr ID,Emp ID,Emp_Name,Role_Name,Product Name,Metric Type,Product wt,Metric/sales-non sales,Plan Type,Targets,Sales,Attainment,Achievement,Product Target_pay,Eligibility,Product level Payout,FLM_Flag,FLM
UK,British Pound (GBP),BL-D,Team3,2022,Q1-2022,ICLAUR786,ICLAUR786,ICLAUR786,REP,AriceptCapsule,Others,0.12,Non-Sales,Others,1,0,0,0,798,1,0,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,C2-2021,KXEMIL786,KXEMIL786,KXEMIL786,FLM,Microprime Gel,Others,0.12,Non-Sales,Others,3,0,0,0,1008,1,0,1,FLM
UK,British Pound (GBP),BL-D,Team2,2025,C3-2025,E AN B786,E AN B786,E AN B786,REP,ProZantaccure,Others,0,Non-Sales,Others,,,,0,350,0,0,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,Q4-2024,ERJAGO786,ERJAGO786,ERJAGO786,REP,Geriforte Capsule,Others,0,Non-Sales,Others,,,,0,350,1,0,0,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q1-2023,DTJEAN786,DTJEAN786,DTJEAN786,REP,HypoLipitorprime,Others,0,Non-Sales,Others,,,,0,350,1,350,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,Q2-2022,ENKRIS786,ENKRIS786,ENKRIS786,REP,ActosPowder,Others,0,Non-Sales,Others,,,,0,350,1,350,0,FLM
UK,British Pound (GBP),BL-D,Team5,2021,Q3-2021,ICLAUR786,ICLAUR786,ICLAUR786,REP,AbilifyPowder,Others,0,Non-Sales,Others,,,,0,350,1,0,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,Q4-2025,ENJO V786,ENJO V786,ENJO V786,REP,Endoplus Cream,Others,0,Non-Sales,Others,,,,0,350,1,0,0,FLM
UK,British Pound (GBP),BL-D,Team4,2024,Q1-2024,ERKOEN786,ERKOEN786,ERKOEN786,REP,Macroplus Ointment,Others,0,Non-Sales,Others,,,,0,350,1,0,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,C3-2023,ONJEAN786,ONJEAN786,ONJEAN786,FLM,PsychoRituxanshield,Others,0,Non-Sales,Others,,,,0,350,1,175,1,FLM
UK,British Pound (GBP),BL-D,Team3,2022,Q3-2022,ETALIN786,ETALIN786,ETALIN786,FLM,PsychoRituxanshield,Others,0,Non-Sales,Others,,,,0,350,1,350,1,FLM
UK,British Pound (GBP),BL-B,Team5,2021,Q4-2021,KXEMIL786,KXEMIL786,KXEMIL786,FLM,CrestorSpray,Others,0,Non-Sales,Others,,,,0,350,1,0,1,FLM
UK,British Pound (GBP),BL-D,Team2,2025,C2-2025,ENKRIS786,ENKRIS786,ENKRIS786,REP,PsychoRituxanshield,Others,0.3,Non-Sales,Others,0,0,0,0,855,1,0,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,Q2-2024,ETALIN786,ETALIN786,ETALIN786,FLM,Rheumopure Ointment,Others,0.6,Non-Sales,Others,0,0,0,0,2160,1,0,1,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q3-2023,ENKRIS786,ENKRIS786,ENKRIS786,REP,Dermoactive Drops,Others,0.1,Non-Sales,Others,0,0,0,0,285,1,0,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,C3-2022,ETALIN786,ETALIN786,ETALIN786,FLM,Urorapid Syrup,Others,0.2,Non-Sales,Others,0,0,0,0,720,1,0,1,FLM
UK,British Pound (GBP),BL-D,Team5,2021,C3-2021,DEJOHA786,DEJOHA786,DEJOHA786,REP,Immunorelief Lotion,Currency,0.5,Sales,SvT - Currency,8410,10701,1.27,1,1000,0.846153846,888.4615385,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,C1-2025,ERJAGO786,ERJAGO786,ERJAGO786,REP,Rheumopure Ointment,Currency,0.5,Sales,SvT - Currency,8410,10701,1.27,1,1000,1,1050,0,FLM
UK,British Pound (GBP),BL-D,Team4,2024,Q3-2024,DTJEAN786,DTJEAN786,DTJEAN786,REP,Metacare Gel,Currency,0.35,Sales,SvT - Currency,8410,10701,1.27,1,997.5,1,1047.375,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,Q4-2023,ONJEAN786,ONJEAN786,ONJEAN786,FLM,Gastrorelief Powder,Currency,0.5,Sales,SvT - Currency,8410,10701,1.27,1,1800,1,1890,1,FLM
UK,British Pound (GBP),BL-D,Team3,2022,Q1-2022,DEJOHA786,DEJOHA786,DEJOHA786,REP,Urocomplete Injection,Currency,0.5,Sales,SvT - Currency,8410,10701,1.27,1,1000,0.846153846,888.4615385,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,C3-2021,ERJAGO786,ERJAGO786,ERJAGO786,REP,Metapure Capsule,Currency,0.5,Sales,SvT - Currency,8410,10701,1.27,1,1000,1,1050,0,FLM
UK,British Pound (GBP),BL-D,Team2,2025,C2-2025,DTJEAN786,DTJEAN786,DTJEAN786,REP,Neuroprime Ointment,Currency,0.35,Sales,SvT - Currency,8410,10701,1.27,1,997.5,1,1047.375,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,C1-2024,ONJEAN786,ONJEAN786,ONJEAN786,FLM,ProSeroquelprime,Currency,0.5,Sales,SvT - Currency,8410,10701,1.27,1,1800,1,1890,1,FLM
UK,British Pound (GBP),BL-D,Team1,2023,C2-2023,ENKRIS786,ENKRIS786,ENKRIS786,REP,AriceptCapsule,Currency,0.25,Sales,SvT - Currency,4259638,3942204.217,0.93,0.65,712.5,1,486.28125,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,Q2-2022,DTJEAN786,DTJEAN786,DTJEAN786,REP,AbilifyPowder,Currency,0.15,Sales,SvT - Currency,4259638,3942204.217,0.93,0.65,427.5,1,291.76875,0,FLM
UK,British Pound (GBP),BL-D,Team5,2021,C1-2021,ENKRIS786,ENKRIS786,ENKRIS786,REP,Cardioheal Injection,Currency,0.25,Sales,SvT - Currency,2576056,2152409.212,0.84,0.4,712.5,1,299.25,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,Q4-2025,DTJEAN786,DTJEAN786,DTJEAN786,REP,ZantacCapsule,Currency,0.15,Sales,SvT - Currency,1683582,1789795.005,1.06,1.2,427.5,1,538.65,0,FLM
UK,British Pound (GBP),BL-D,Team4,2024,Q1-2024,ENKRIS786,ENKRIS786,ENKRIS786,REP,Cardiopure Tablet,Others,0.3,Non-Sales,Others,9,5,0.56,0.56,855,1,498.75,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,Q2-2023,ETALIN786,ETALIN786,ETALIN786,FLM,Multirapid Gel,Others,0.6,Non-Sales,Others,9,5,0.56,0,2160,0,0,1,FLM
UK,British Pound (GBP),BL-D,Team3,2022,Q3-2022,ENKRIS786,ENKRIS786,ENKRIS786,REP,Pediamax Lotion,Others,0.1,Non-Sales,Others,8,6,0.75,0.75,285,1,224.4375,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,Q4-2021,ETALIN786,ETALIN786,ETALIN786,FLM,BioCymbaltacure,Others,0.2,Non-Sales,Others,8,6,0.75,0,720,0,0,1,FLM
UK,British Pound (GBP),BL-D,Team2,2025,C3-2025,ENKRIS786,ENKRIS786,ENKRIS786,REP,ActosPowder,Currency,0.1,Sales,SvT - Currency,412440,388711.4412,0.94,0.7,285,1,209.475,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,C3-2024,ETALIN786,ETALIN786,ETALIN786,FLM,AbilifyPowder,Currency,0.2,Sales,SvT - Currency,589199,692760.2935,1.18,1.6,720,0,0,1,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q3-2023,ERKOEN786,ERKOEN786,ERKOEN786,REP,Multiextra Lotion,Currency,0.3,Sales,SvT - Currency,5268894,4910897.48,0.93,0.65,855,1,583.5375,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,Q4-2022,ENJO V786,ENJO V786,ENJO V786,REP,AvastinDrops,Currency,0.3,Sales,SvT - Currency,5268894,4910897.48,0.93,0.65,855,1,583.5375,0,FLM
UK,British Pound (GBP),BL-D,Team5,2021,Q1-2021,ICLAUR786,ICLAUR786,ICLAUR786,REP,RenalAspirincare,Currency,0.3,Sales,SvT - Currency,5268894,4910897.48,0.93,0.65,855,1,583.5375,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,C2-2025,KXEMIL786,KXEMIL786,KXEMIL786,FLM,CrestorSpray,Currency,0.3,Sales,SvT - Currency,5268894,4910897.48,0.93,0.65,1080,1,737.1,1,FLM
UK,British Pound (GBP),BL-D,Team4,2024,C1-2024,ERKOEN786,ERKOEN786,ERKOEN786,REP,Hypocure Drops,Currency,0.3,Sales,SvT - Currency,1738735,1917196.655,1.1,1.33,855,1,1197,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,C2-2023,ENJO V786,ENJO V786,ENJO V786,REP,Gastroforte Spray,Currency,0.3,Sales,SvT - Currency,1527979,1290735.581,0.84,0.4,855,1,359.1,0,FLM
UK,British Pound (GBP),BL-D,Team3,2022,Q1-2022,ICLAUR786,ICLAUR786,ICLAUR786,REP,TylenolCapsule,Currency,0.3,Sales,SvT - Currency,2002180,1702965.244,0.85,0.4,855,1,359.1,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,Q2-2021,KXEMIL786,KXEMIL786,KXEMIL786,FLM,Pediaboost Spray,Currency,0.3,Sales,SvT - Currency,5268894,4910897.48,0.93,0.65,1080,1,737.1,1,FLM
UK,British Pound (GBP),BL-D,Team2,2025,Q3-2025,ERKOEN786,ERKOEN786,ERKOEN786,REP,AdvilDrops,Others,0.28,Non-Sales,Others,1,1,1,1.1,798,1,921.69,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,Q4-2024,ENJO V786,ENJO V786,ENJO V786,REP,ProSeroquelprime,Others,0.28,Non-Sales,Others,2,1,0.5,0,798,1,0,0,FLM
UK,British Pound (GBP),BL-D,Team1,2023,C3-2023,KXEMIL786,KXEMIL786,KXEMIL786,FLM,Pediamax Lotion,Others,0.28,Non-Sales,Others,3,2,0.67,0.97,1008,1,1026.648,1,FLM
UK,British Pound (GBP),BL-B,Team3,2022,Q2-2022,ERKOEN786,ERKOEN786,ERKOEN786,REP,RemicadeTablet,Others,0.045,Non-Sales,Others,4,2,0.5,0.5,128.25,1,67.33125,0,FLM
UK,British Pound (GBP),BL-D,Team5,2021,Q3-2021,ENJO V786,ENJO V786,ENJO V786,REP,VascularAspirinforte,Others,0.045,Non-Sales,Others,5,3,0.6,0.6,128.25,1,80.7975,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,Q4-2025,ICLAUR786,ICLAUR786,ICLAUR786,REP,ProSeroquelprime,Others,0.15,Non-Sales,Others,3,0,0,0,427.5,1,0,0,FLM
UK,British Pound (GBP),BL-D,Team4,2024,Q1-2024,KXEMIL786,KXEMIL786,KXEMIL786,FLM,VascularAspirinforte,Others,0.045,Non-Sales,Others,12,5,0.42,0.42,162,1,70.875,1,FLM
UK,British Pound (GBP),BL-B,Team1,2023,Q2-2023,ERKOEN786,ERKOEN786,ERKOEN786,REP,RituxanCream,Others,0.03,Non-Sales,Others,1,1,1,1,85.5,1,89.775,0,FLM
UK,British Pound (GBP),BL-D,Team3,2022,Q3-2022,ENJO V786,ENJO V786,ENJO V786,REP,Macroprotect Capsule,Others,0.03,Non-Sales,Others,1,1,1,1,85.5,1,89.775,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,Q4-2021,ICLAUR786,ICLAUR786,ICLAUR786,REP,Neuroprime Ointment,Others,0.1,Non-Sales,Others,2,1,0.5,0.5,285,1,149.625,0,FLM
UK,British Pound (GBP),BL-D,Team2,2025,Q1-2025,KXEMIL786,KXEMIL786,KXEMIL786,FLM,Cardiopure Tablet,Others,0.03,Non-Sales,Others,4,3,0.75,0.75,108,1,85.05,1,FLM
UK,British Pound (GBP),BL-B,Team4,2024,C2-2024,ERKOEN786,ERKOEN786,ERKOEN786,REP,AvastinDrops,Others,0.045,Non-Sales,Others,4,3,0.75,0.75,128.25,1,100.996875,0,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q3-2023,ENJO V786,ENJO V786,ENJO V786,REP,Hepatorapid Powder,Others,0.045,Non-Sales,Others,4,3,0.75,0.75,128.25,1,100.996875,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,Q4-2022,ICLAUR786,ICLAUR786,ICLAUR786,REP,HypoTylenolextra,Others,0.15,Non-Sales,Others,3,2,0.67,0.67,427.5,1,299.25,0,FLM
UK,British Pound (GBP),BL-D,Team5,2021,Q1-2021,KXEMIL786,KXEMIL786,KXEMIL786,FLM,PsychoRituxanshield,Others,0.045,Non-Sales,Others,11,8,0.73,0.73,162,1,123.7090909,1,FLM
UK,British Pound (GBP),BL-B,Team2,2025,Q2-2025,DEJOHA786,DEJOHA786,DEJOHA786,REP,GynecoZantacactive,Others,0,Non-Sales,Others,,,,,2000,0.846153846,1599.230769,0,FLM
UK,British Pound (GBP),BL-D,Team4,2024,Q3-2024,ERJAGO786,ERJAGO786,ERJAGO786,REP,Cardioheal Injection,Others,0,Non-Sales,Others,,,,,2000,1,1890,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,Q4-2023,DTJEAN786,DTJEAN786,DTJEAN786,REP,Immunoprime Gel,Others,0,Non-Sales,Others,,,,,3000,1,2835,0,FLM
UK,British Pound (GBP),BL-D,Team3,2022,Q1-2022,ENKRIS786,ENKRIS786,ENKRIS786,REP,Macroactive Lotion,Others,0,Non-Sales,Others,,,,,3000,1,2835,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,C2-2021,ERKOEN786,ERKOEN786,ERKOEN786,REP,Macroplus Ointment,Others,0,Non-Sales,Others,,,,,3000,1,2835,0,FLM
UK,British Pound (GBP),BL-D,Team2,2025,Q3-2025,ENJO V786,ENJO V786,ENJO V786,REP,Renalcare Gel,Others,0,Non-Sales,Others,,,,,3000,1,2835,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,Q4-2024,ICLAUR786,ICLAUR786,ICLAUR786,REP,Gastroforte Spray,Others,0,Non-Sales,Others,,,,,3000,1,2835,0,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q1-2023,DEJOHA786,DEJOHA786,DEJOHA786,REP,Multiguard Capsule,Others,0,Non-Sales,Others,,,,,350,1,350,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,Q2-2022,ERJAGO786,ERJAGO786,ERJAGO786,REP,PsychoRituxanshield,Others,0,Non-Sales,Others,,,,,350,1,350,0,FLM
UK,British Pound (GBP),BL-D,Team5,2021,Q3-2021,DTJEAN786,DTJEAN786,DTJEAN786,REP,Micrototal Powder,Others,0,Non-Sales,Others,,,,,350,1,350,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,Q4-2025,ENKRIS786,ENKRIS786,ENKRIS786,REP,TylenolLotion,Others,0,Non-Sales,Others,,,,,350,0,0,0,FLM
UK,British Pound (GBP),BL-D,Team4,2024,Q1-2024,ERKOEN786,ERKOEN786,ERKOEN786,REP,Endoplus Cream,Others,0,Non-Sales,Others,,,,,350,1,350,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,Q2-2023,ENJO V786,ENJO V786,ENJO V786,REP,OncoCrestorforte,Others,0,Non-Sales,Others,,,,,350,0,0,0,FLM
UK,British Pound (GBP),BL-D,Team3,2022,C3-2022,ICLAUR786,ICLAUR786,ICLAUR786,REP,Multirapid Gel,Others,0,Non-Sales,Others,,,,,350,1,350,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,Q4-2021,ONJEAN786,ONJEAN786,ONJEAN786,FLM,Pneumoheal Lotion,Others,0,Non-Sales,Others,,,,,350,1,350,1,FLM
UK,British Pound (GBP),BL-D,Team2,2025,C3-2025,ETALIN786,ETALIN786,ETALIN786,FLM,RemicadeInjection,Others,0,Non-Sales,Others,,,,,350,0,0,1,FLM
UK,British Pound (GBP),BL-B,Team4,2024,Q2-2024,KXEMIL786,KXEMIL786,KXEMIL786,FLM,AriceptCapsule,Others,0,Non-Sales,Others,,,,,350,1,233.3333333,1,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q3-2023,DEJOHA786,DEJOHA786,DEJOHA786,REP,AbilifyPowder,Currency,0.5,Sales,SvT - Currency,2081434.833,2393577.836,1.15,1,800,1,800,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,C1-2022,ERJAGO786,ERJAGO786,ERJAGO786,REP,Actirelief Gel,Currency,0.5,Sales,SvT - Currency,2081434.833,2393577.836,1.15,1,800,1,800,0,FLM
UK,British Pound (GBP),BL-D,Team5,2021,Q1-2021,DTJEAN786,DTJEAN786,DTJEAN786,REP,EnbrelDrops,Currency,0.35,Sales,SvT - Currency,2081434.833,2393577.836,1.15,1,798,1,798,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,Q2-2025,ONJEAN786,ONJEAN786,ONJEAN786,FLM,Macroplus Ointment,Currency,0.5,Sales,SvT - Currency,2081434.833,2393577.836,1.15,1,1440,1,1440,0,FLM
UK,British Pound (GBP),BL-D,Team4,2024,Q3-2024,DEJOHA786,DEJOHA786,DEJOHA786,REP,RemicadeCream,Currency,0.5,Sales,SvT - Currency,2081434.833,2393577.836,1.15,1,800,1,800,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,C2-2023,ERJAGO786,ERJAGO786,ERJAGO786,REP,Metatotal Spray,Currency,0.5,Sales,SvT - Currency,2081434.833,2393577.836,1.15,1,800,1,800,0,FLM
UK,British Pound (GBP),BL-D,Team3,2022,Q1-2022,DTJEAN786,DTJEAN786,DTJEAN786,REP,AriceptCapsule,Currency,0.35,Sales,SvT - Currency,2081434.833,2393577.836,1.15,1,798,1,798,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,C3-2021,ONJEAN786,ONJEAN786,ONJEAN786,FLM,Multiextra Lotion,Currency,0.5,Sales,SvT - Currency,2081434.833,2393577.836,1.15,1,1440,1,1440,0,FLM
UK,British Pound (GBP),BL-D,Team2,2025,Q3-2025,ENKRIS786,ENKRIS786,ENKRIS786,REP,ZantacCapsule,Currency,0.25,Sales,SvT - Currency,6235095.17,5966928.091,0.96,0.8,570,1,456,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,C3-2024,DTJEAN786,DTJEAN786,DTJEAN786,REP,AriceptLotion,Currency,0.15,Sales,SvT - Currency,6235095.17,5966928.091,0.96,0.8,342,1,273.6,0,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q1-2023,ENKRIS786,ENKRIS786,ENKRIS786,REP,AspirinInjection,Currency,0.25,Sales,SvT - Currency,3702066.587,3301212.981,0.89,0.4,570,1,228,0,FLM
UK,British Pound (GBP),BL-B,Team3,2022,Q2-2022,DTJEAN786,DTJEAN786,DTJEAN786,REP,RenalAspirincare,Currency,0.15,Sales,SvT - Currency,2533028.583,2665715.11,1.05,1.17,342,1,399,0,FLM
UK,British Pound (GBP),BL-D,Team5,2021,C3-2021,ENKRIS786,ENKRIS786,ENKRIS786,REP,AriceptLotion,Others,0.3,Non-Sales,Others,1,0.7,0.7,0.7,684,1,478.8,0,FLM
UK,British Pound (GBP),BL-B,Team2,2025,Q4-2025,ENKRIS786,ENKRIS786,ENKRIS786,REP,Macroprotect Capsule,Others,0.1,Non-Sales,Others,1,0.9,0.9,0.9,228,1,205.2,0,FLM
UK,British Pound (GBP),BL-D,Team4,2024,Q1-2024,ENKRIS786,ENKRIS786,ENKRIS786,REP,Endoactive Lotion,Currency,0.1,Sales,SvT - Currency,638535.165,653111.0226,1.02,1.07,228,1,243.2,0,FLM
UK,British Pound (GBP),BL-B,Team1,2023,Q2-2023,ERKOEN786,ERKOEN786,ERKOEN786,REP,TylenolCapsule,Currency,0.3,Sales,SvT - Currency,7707994,7446709,0.97,0.85,684,1,581.4,0,FLM
UK,British Pound (GBP),BL-D,Team3,2022,Q3-2022,ENJO V786,ENJO V786,ENJO V786,REP,RenalAspirincare,Currency,0.3,Sales,SvT - Currency,7707994,7446709,0.97,0.85,684,1,581.4,0,FLM
UK,British Pound (GBP),BL-B,Team5,2021,Q4-2021,ICLAUR786,ICLAUR786,ICLAUR786,REP,Hypocure Drops,Currency,0.3,Sales,SvT - Currency,7707994,7446709,0.97,0.85,684,1,581.4,0,FLM
UK,British Pound (GBP),BL-D,Team2,2025,Q1-2025,ERKOEN786,ERKOEN786,ERKOEN786,REP,Hypocure Drops,Currency,0.3,Sales,SvT - Currency,2616811,2891828,1.11,1.37,684,1,934.8,0,FLM
UK,British Pound (GBP),BL-B,Team4,2024,Q2-2024,ENJO V786,ENJO V786,ENJO V786,REP,Renalheal Lotion,Currency,0.3,Sales,SvT - Currency,2210927,1894561,0.86,0.4,684,1,273.6,0,FLM
UK,British Pound (GBP),BL-D,Team1,2023,Q3-2023,ICLAUR786,ICLAUR786,ICLAUR786,REP,DermoZantacpure,Currency,0.3,Sales,SvT - Currency,2880256,2660320,0.92,0.6,684,1,410.4,0,FLM
